feature,p-value,NC-mean,AD-mean,NC-std,AD-std,
wavelet-HLH_ngtdm_Contrast,0.00000000000001007290 ,0.12218676493333300000 ,0.11912171726315700000 ,0.00107635688706723000 ,0.00183383931760725000 ,
wavelet-HHL_glcm_ClusterProminence,0.00000000036567409128 ,0.50534241968888800000 ,0.51431097536842100000 ,0.00323769458220376000 ,0.00766473049783851000 ,
wavelet-HHL_glcm_ClusterTendency,0.00000000034161554297 ,0.50532015986666600000 ,0.51421102613157900000 ,0.00323245567280323000 ,0.00756716122233657000 ,
wavelet-HHL_glcm_Contrast,0.00000000026202469891 ,0.49444485826666600000 ,0.48513590810526300000 ,0.00323894995323065000 ,0.00791628103149000000 ,
wavelet-HHL_glcm_Correlation,0.00000000029636634935 ,0.01088272686666660000 ,0.02910851789473680000 ,0.00646979343887036000 ,0.01550745240570290000 ,
wavelet-HHL_glcm_DifferenceAverage,0.00000000026202469891 ,0.49444485826666600000 ,0.48513590810526300000 ,0.00323894995323065000 ,0.00791628103149000000 ,
wavelet-HHL_glcm_Id,0.00000000026202478672 ,0.75277757082222200000 ,0.75743204589473600000 ,0.00161947497151785000 ,0.00395814055919870000 ,
wavelet-HHL_glcm_Idm,0.00000000026202478672 ,0.75277757082222200000 ,0.75743204589473600000 ,0.00161947497151785000 ,0.00395814055919870000 ,
wavelet-HHL_glcm_Idmn,0.00000000026202465977 ,0.90111102833333300000 ,0.90297281839473700000 ,0.00064778994151074400 ,0.00158325625110770000 ,
wavelet-HHL_glcm_Idn,0.00000000026202465296 ,0.83518504720000000000 ,0.83828803068421000000 ,0.00107964994342913000 ,0.00263876044555337000 ,
wavelet-HHL_glcm_InverseVariance,0.00000000026202469891 ,0.49444485826666600000 ,0.48513590810526300000 ,0.00323894995323065000 ,0.00791628103149000000 ,
wavelet-HHL_glcm_SumEntropy,0.00000000480245181827 ,1.48949372200000000000 ,1.49889739276315000000 ,0.00495741338040572000 ,0.00797454846466148000 ,
wavelet-HHL_gldm_DependenceEntropy,0.00000000113206063498 ,4.66788951222222000000 ,4.73100287452631000000 ,0.02950991157048840000 ,0.05250046366469220000 ,
wavelet-HHL_gldm_DependenceNonUniformity,0.00000000004900571569 ,556.57470898000000000000 ,422.44059993157800000000 ,54.75456237228210000000 ,102.65621259202300000000 ,
wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.00000000034678360377 ,0.08884527755555550000 ,0.08460752049999990000 ,0.00201696834476744000 ,0.00331801084316893000 ,
wavelet-HHL_gldm_DependenceVariance,0.00000000899238025170 ,9.84363815111111000000 ,10.74348051715780000000 ,0.39114952077752300000 ,0.84054152396918900000 ,
wavelet-HHL_gldm_GrayLevelNonUniformity,0.00000000195418188614 ,3132.24884426666000000000 ,2485.40127526315000000000 ,290.41925608845000000000 ,559.19069538546600000000 ,
wavelet-HHL_glrlm_GrayLevelNonUniformity,0.00000000051002637948 ,1871.00148713333000000000 ,1488.15683462894000000000 ,157.93240677742900000000 ,320.72222606885200000000 ,
wavelet-HHL_glrlm_RunLengthNonUniformity,0.00000000008590030275 ,1613.18299660000000000000 ,1287.41400110000000000000 ,121.41124024086100000000 ,261.65491890777100000000 ,
wavelet-HHL_glszm_LargeAreaEmphasis,0.00000003904341600916 ,1879405.75093333000000000000 ,1118311.40180026000000000000 ,521071.21048855600000000000 ,621253.60262973000000000000 ,
wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,0.00000005515227474972 ,4767932.28659999000000000000 ,2863889.71118421000000000000 ,1310840.86804326000000000000 ,1585439.81000567000000000000 ,
wavelet-HHL_glszm_LargeAreaLowGrayLevelEmphasis,0.00000002864129025356 ,1157274.11706888000000000000 ,681916.82445210500000000000 ,324251.71406077800000000000 ,380802.93872106600000000000 ,
wavelet-HHL_ngtdm_Busyness,0.00000000003202022472 ,1484.15817417777000000000 ,1128.71705130526000000000 ,142.22028330824000000000 ,269.37556032491900000000 ,
wavelet-HHL_ngtdm_Complexity,0.00000000024272263351 ,0.49136794864444400000 ,0.48112339850000000000 ,0.00354183073738057000 ,0.00869819196188405000 ,
wavelet-HHL_ngtdm_Contrast,0.00000000023810398973 ,0.12281539237777700000 ,0.12021357907894700000 ,0.00088565664244436700 ,0.00221416997804435000 ,
wavelet-HHH_glcm_ClusterProminence,0.00000004315986608454 ,0.49502383131111100000 ,0.49842294318421000000 ,0.00178813186659433000 ,0.00323201932626486000 ,
wavelet-HHH_glcm_ClusterTendency,0.00000004210428132094 ,0.49502025900000000000 ,0.49842076773684200000 ,0.00178657660116221000 ,0.00323063233418502000 ,
wavelet-HHH_glcm_Contrast,0.00000004198129061101 ,0.50481598722222200000 ,0.50139855747368400000 ,0.00179654318226505000 ,0.00324549909143787000 ,
wavelet-HHH_glcm_Correlation,0.00000004178724053069 ,-0.00979453615555555000 ,-0.00297706400000000000 ,0.00358112899844119000 ,0.00647475787901331000 ,
wavelet-HHH_glcm_DifferenceAverage,0.00000004198129061101 ,0.50481598722222200000 ,0.50139855747368400000 ,0.00179654318226505000 ,0.00324549909143787000 ,
wavelet-HHH_glcm_Id,0.00000004198122247787 ,0.74759200639999900000 ,0.74930072134210500000 ,0.00089827158118321700 ,0.00162274950129580000 ,
wavelet-HHH_glcm_Idm,0.00000004198122247787 ,0.74759200639999900000 ,0.74930072134210500000 ,0.00089827158118321700 ,0.00162274950129580000 ,
wavelet-HHH_glcm_Idmn,0.00000004198133109903 ,0.89903680262222200000 ,0.89972028852631600000 ,0.00035930868559438500 ,0.00064909975984479800 ,
wavelet-HHH_glcm_Idn,0.00000004198126014318 ,0.83172800422222200000 ,0.83286714752631500000 ,0.00059884775067991600 ,0.00108183304449136000 ,
wavelet-HHH_glcm_InverseVariance,0.00000004198129061101 ,0.50481598722222200000 ,0.50139855747368400000 ,0.00179654318226505000 ,0.00324549909143787000 ,
wavelet-HHH_glcm_SumEntropy,0.00000534369315602260 ,1.48483883184444000000 ,1.48878827636842000000 ,0.00292148745458288000 ,0.00441120908809770000 ,
wavelet-HHH_gldm_DependenceEntropy,0.00000029022540328508 ,4.54254753086666000000 ,4.58221819657894000000 ,0.02236593668273270000 ,0.04089172427887060000 ,
wavelet-HHH_gldm_DependenceNonUniformity,0.00000000075858992435 ,605.71891002888800000000 ,466.22508376052600000000 ,62.83866748248010000000 ,115.54803580611800000000 ,
wavelet-HHH_gldm_DependenceNonUniformityNormalized,0.00000027008080868870 ,0.09662918260000000000 ,0.09330854323684210000 ,0.00201563394487283000 ,0.00330978966304505000 ,
wavelet-HHH_gldm_DependenceVariance,0.00000061631816286602 ,8.53622217262222000000 ,8.97263026081579000000 ,0.20721374665752900000 ,0.49202742253566600000 ,
wavelet-HHH_gldm_GrayLevelNonUniformity,0.00000000183859310931 ,3132.02079002222000000000 ,2484.06599443421000000000 ,290.39538649689600000000 ,558.96014559571500000000 ,
wavelet-HHH_glrlm_GrayLevelNonUniformity,0.00000000122540701534 ,1897.31175180000000000000 ,1518.57374461578000000000 ,162.47013442831900000000 ,325.37957038863900000000 ,
wavelet-HHH_glrlm_RunLengthNonUniformity,0.00000000150892371614 ,1664.06023313333000000000 ,1351.85963123157000000000 ,132.16125222107100000000 ,271.64407526750200000000 ,
wavelet-HHH_glszm_LargeAreaEmphasis,0.00000002221221445841 ,2108210.08724444000000000000 ,1367291.01381315000000000000 ,422560.23718752100000000000 ,656703.25730491700000000000 ,
wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.00000002562953753241 ,5228772.71359999000000000000 ,3403466.59352631000000000000 ,1048878.65526125000000000000 ,1624821.87243692000000000000 ,
wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.00000002049912623915 ,1328069.43072666000000000000 ,858247.11896842100000000000 ,267320.96015635300000000000 ,415040.07430568500000000000 ,
wavelet-HHH_ngtdm_Busyness,0.00000000094753363945 ,1606.80895740000000000000 ,1254.77953258947000000000 ,164.18914155700400000000 ,290.77017580724300000000 ,
wavelet-HHH_ngtdm_Complexity,0.00000018637940701302 ,0.50235409135555500000 ,0.49838665618421000000 ,0.00236178061934010000 ,0.00389924602228919000 ,
wavelet-HHH_ngtdm_Contrast,0.00000025452722952697 ,0.12556530100000000000 ,0.12458505081578900000 ,0.00059127720395074900 ,0.00097618291669085800 ,
wavelet-LLL_firstorder_90Percentile,0.00000005723312419782 ,5.39235847955555000000 ,5.72004009242105000000 ,0.24584305993925500000 ,0.25196740746345800000 ,
wavelet-LLL_firstorder_InterquartileRange,0.00000001618019835432 ,0.63081418986666600000 ,0.71867624849999900000 ,0.05032687953566310000 ,0.07634158292082510000 ,
wavelet-LLL_firstorder_MeanAbsoluteDeviation,0.00000003596868151032 ,0.38580115211111100000 ,0.43393965713157800000 ,0.03213899536824430000 ,0.03986879874588940000 ,
wavelet-LLL_firstorder_Mean,0.00000103952182143053 ,4.74936398366666000000 ,5.01429883113157000000 ,0.22217815317587900000 ,0.23375269980191500000 ,
wavelet-LLL_firstorder_Median,0.00000027309373788731 ,4.71445003722222000000 ,5.00255452228947000000 ,0.23080249959809800000 ,0.23578971217706900000 ,
wavelet-LLL_firstorder_RobustMeanAbsoluteDeviation,0.00000001544773203271 ,0.26239911531111100000 ,0.29764256526315700000 ,0.02077525426296320000 ,0.03007057922611840000 ,
wavelet-LLL_firstorder_RootMeanSquared,0.00000075800998594194 ,4.77543680753333000000 ,5.04496462521052000000 ,0.22343051438523000000 ,0.23360589188290600000 ,
wavelet-LLL_firstorder_Variance,0.00000081898242970091 ,0.24888411544444400000 ,0.30840849571052600000 ,0.04788846879410880000 ,0.05356711562268490000 ,
